"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1,32.6,32.6,67.4,"Aeugst am Albis ZH","Nein zur Ernährungsinitiative in Aeugst am Albis: 67,4 Prozent. Sowohl Aeugst am Albis als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,34.7,34.7,65.3,"Affoltern am Albis ZH","In Affoltern am Albis findet die Ernährungsinitiative mit 65,3 Prozent keine Mehrheit. Sowohl Affoltern am Albis als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,67.2,67.2,32.8,"Bonstetten ZH","67,2 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten sagen Ja zur Ernährungsinitiative. Bonstetten sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,91.5,91.5,8.5,"Hausen am Albis ZH","In Hausen am Albis wird die Ernährungsinitiative mit 91,5 Prozent angenommen. Hausen am Albis sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,31.3,31.3,68.7,"Hedingen ZH","In Hedingen wird die Ernährungsinitiative mit 68,7 Prozent abgelehnt. Sowohl Hedingen als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,52.9,52.9,47.1,"Kappel am Albis ZH","52,9 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis sagen Ja zur Ernährungsinitiative. Kappel am Albis sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,41.5,41.5,58.5,"Knonau ZH","In Knonau wird die Ernährungsinitiative mit 58,5 Prozent abgelehnt. Sowohl Knonau als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,17.6,17.6,82.4,"Maschwanden ZH","Mit 82,4 Prozent wird die Ernährungsinitiative in Maschwanden verworfen. Sowohl Maschwanden als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,53.7,53.7,46.3,"Mettmenstetten ZH","In Mettmenstetten wird die Ernährungsinitiative mit 53,7 Prozent angenommen. Mettmenstetten sagt Ja zur Ernährungsinitiative, im Kanton Zürich überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,34.2,34.2,65.8,"Obfelden ZH","In Obfelden hat die Ernährungsinitiative keine Mehrheit gefunden: 65,8 Prozent lehnen die Vorlage ab. Sowohl Obfelden als auch der Kanton Zürich verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
